"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-75","6.40069007873535","1203","24.661","14.896","4.809094092","1.84970730115767","0.843316665092172","25.065454032",
"1/2/1979","-75","6.40069007873535","1203","23.577","11.719","2.50196364","1.9150663590696","0.858072960224251","25.3387665",
"1/3/1979","-75","6.40069007873535","1203","23.706","13.704","0.6231312","1.94390556753185","0.840378355723891","24.5720853",
"1/4/1979","-75","6.40069007873535","1203","24.155","13.55","1.127815452","1.66527333528691","0.897812762931811","18.5908491",
"1/5/1979","-75","6.40069007873535","1203","22.793","11.438","1.9011503304","1.34790116701592","0.929312776612088","15.15223242",
"1/6/1979","-75","6.40069007873535","1203","22.735","11.001","1.350975456","1.39347570646723","0.889942775780753","17.28944892",
"1/7/1979","-75","6.40069007873535","1203","21.536","10.593","0.1201629384","1.32430551072959","0.872455747979173","13.952367",
"1/8/1979","-75","6.40069007873535","1203","21.044","10.775","0.084114072","1.36035703797906","0.862773554316528","13.9045599",
"1/9/1979","-75","6.40069007873535","1203","22.597","10.402","1.908875268","1.24965012047228","0.885100475984465","17.40803292",
"1/10/1979","-75","6.40069007873535","1203","23.103","12.65","0.0549316296","1.84897908745212","0.818754243059891","23.033704032",
"1/11/1979","-75","6.40069007873535","1203","24.487","11.845","0.315857124","1.77528906339387","0.825002893019044","25.7675697",
"1/12/1979","-75","6.40069007873535","1203","23.656","10.811","0.29869092","1.79973772008423","0.844379586077909","24.823012968",
"1/13/1979","-75","6.40069007873535","1203","24.324","13.189","0.7844925312","1.88974168518145","0.848055320444309","21.95364402",
"1/14/1979","-75","6.40069007873535","1203","21.995","14.096","5.4399485376","1.54215805094017","0.937421868193622","8.69090688",
"1/15/1979","-75","6.40069007873535","1203","21.856","13.203","5.4605480616","1.99435381090264","0.884676951991242","23.99416992",
"1/16/1979","-75","6.40069007873535","1203","23.477","11.334","0.8711817984","1.76816399882293","0.875205025627239","19.98854622",
"1/17/1979","-75","6.40069007873535","1203","24.407","11.724","0.32443992","2.10361057103212","0.78859555355351","25.9649505",
"1/18/1979","-75","6.40069007873535","1203","23.626","13.11","0.4368786624","1.73173480097844","0.82598229095423","18.344187432",
"1/19/1979","-75","6.40069007873535","1203","23.661","12.466","1.08833328","2.00217887671933","0.82405419071973","23.4685197",
"1/20/1979","-75","6.40069007873535","1203","24.846","13.106","0.29869092","2.01601636489784","0.815100000376748","25.484008968",
"1/21/1979","-75","6.40069007873535","1203","25.536","15.137","1.57585176","1.97661552720041","0.764802952504193","23.840604",
"1/22/1979","-75","6.40069007873535","1203","23.254","13.18","5.2253701056","1.69507073306076","0.849168955650165","23.7614094",
"1/23/1979","-75","6.40069007873535","1203","24.526","14.33","6.10771068","1.61697848660545","0.884762677654037","17.5637241",
"1/24/1979","-75","6.40069007873535","1203","24.754","14.202","6.45189588","1.30669811411386","0.873995677834086","17.91146322",
"1/25/1979","-75","6.40069007873535","1203","24.578","11.437","0.5742071568","1.6577803963459","0.843561436621651","23.00394087",
"1/26/1979","-75","6.40069007873535","1203","26.581","13.521","0.633430476","2.06945602384162","0.751443394245262","26.1717768",
"1/27/1979","-75","6.40069007873535","1203","25.172","13.978","12.8162382264","1.80374032943169","0.84822672557462","24.8778",
"1/28/1979","-75","6.40069007873535","1203","22.14","16.357","28.7378316","1.11170171852642","0.961538279127033","16.74382527",
"1/29/1979","-75","6.40069007873535","1203","23.137","14.649","13.75951968","1.3353836240889","0.941099117939335","19.70488269",
"1/30/1979","-75","6.40069007873535","1203","24.897","14.092","10.847280852","1.31427871385537","0.896792456432702","17.29479582",
"1/31/1979","-75","6.40069007873535","1203","26.121","15.242","0.5424501528","1.79096213475263","0.779974518140708","24.5759616",
"2/1/1979","-75","6.40069007873535","1203","24.311","15.515","11.14940592","1.61451437999951","0.89119164728748","19.42295733",
"2/2/1979","-75","6.40069007873535","1203","23.911","12.896","7.427788524","1.46339505028199","0.913013041204765","16.97855661",
"2/3/1979","-75","6.40069007873535","1203","25.28","13.235","0.127887624","1.96710563619354","0.780589890723937","24.41272545",
"2/4/1979","-75","6.40069007873535","1203","25.97","13.47","0","2.35951696271193","0.673197821006092","27.6249933",
"2/5/1979","-75","6.40069007873535","1203","25.85","14.063","0","2.17260743720493","0.742735986945498","27.1766286",
"2/6/1979","-75","6.40069007873535","1203","26.28","14.985","0.8909225496","2.08607996695853","0.77089817469143","24.347252232",
"2/7/1979","-75","6.40069007873535","1203","25.188","14.966","5.9772519864","1.94423478865899","0.849343833794922","24.690259368",
"2/8/1979","-75","6.40069007873535","1203","25.008","14.537","7.418343312","1.89086580292835","0.853977498548492","22.309985232",
"2/9/1979","-75","6.40069007873535","1203","26.158","14.462","5.1652933128","2.0183486963263","0.797826881956356","24.7924134",
"2/10/1979","-75","6.40069007873535","1203","25.464","14.544","1.7784135864","1.92174466627861","0.803965846367039","26.0008857",
"2/11/1979","-75","6.40069007873535","1203","24.5","14.305","7.484434956","1.72563633573214","0.858372163061447","25.085929032",
"2/12/1979","-75","6.40069007873535","1203","26.037","14.395","2.3603437512","1.98671429713557","0.824714749496281","24.344599968",
"2/13/1979","-75","6.40069007873535","1203","27.141","14.858","2.453043708","1.9785975862473","0.738566369339996","26.9848125",
"2/14/1979","-75","6.40069007873535","1203","25.088","14.053","10.9880424","1.67039239383294","0.867548562417705","22.8825009",
"2/15/1979","-75","6.40069007873535","1203","25.467","14.986","9.336662568","1.88179230529222","0.857525927472623","21.573446832",
"2/16/1979","-75","6.40069007873535","1203","23.132","14.557","20.62168128","1.67773171790535","0.930326737147288","20.24937918",
"2/17/1979","-75","6.40069007873535","1203","24.302","15.628","12.43514448","1.65730571179461","0.89655144980417","19.6471107",
"2/18/1979","-75","6.40069007873535","1203","26.173","15.664","4.447746828","1.96170061997899","0.818481659609344","24.793992432",
"2/19/1979","-75","6.40069007873535","1203","27.154","14.342","0.22315968","2.17912512455254","0.713301453400375","27.9931653",
"2/20/1979","-75","6.40069007873535","1203","26.963","14.526","0.259208748","1.67862664645194","0.721905205176771","20.4820281",
"2/21/1979","-75","6.40069007873535","1203","27.683","15.097","1.12610124","2.04793810673384","0.712198763650669","27.429808032",
"2/22/1979","-75","6.40069007873535","1203","27.984","14.985","7.88011236","2.04358374277917","0.729058800087747","28.0037871",
"2/23/1979","-75","6.40069007873535","1203","25.093","15.1","10.395811908","1.70428133481892","0.83559931814357","19.80579933",
"2/24/1979","-75","6.40069007873535","1203","24.333","14.234","10.86444504","1.91319143048063","0.826625495435289","24.8662692",
"2/25/1979","-75","6.40069007873535","1203","21.704","15.75","32.2843554","1.2351655828141","0.919336007994701","8.49915018",
"2/26/1979","-75","6.40069007873535","1203","21.328","15.518","33.9065604","1.29722507405797","0.952576135373158","12.6969804",
"2/27/1979","-75","6.40069007873535","1203","22.054","15.564","28.6056504","1.25644493709395","0.941964857122971","18.03842082",
"2/28/1979","-75","6.40069007873535","1203","20.615","15.176","19.8740975544","1.1261109099424","0.964484659595564","11.20326273",
